--- Log Capture Start: 20260405_180842 ---
04-05 18:07:25.448 D/BleProximity: ℹ️ 打火指令已发送（协议无成功返回值），默认视为成功
04-05 18:07:25.451 D/BleProximity: 📊 指令出队: 120 秒打火 -> com.my.mg.bluetooh.BluetoothManage$OperationResult$SUCCESS@c17ef3d
04-05 18:08:02.878 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:03.092 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:03.304 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:03.509 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:03.707 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:03.906 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:04.120 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:04.322 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:04.524 D/BleProximity: 📡 EMA 信号: -75 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:04.735 D/BleProximity: 📡 EMA 信号: -75 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:05.016 D/BleProximity: 📡 EMA 信号: -75 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:05.147 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:05.351 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:05.555 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:05.757 D/BleProximity: 📡 EMA 信号: -75 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:05.981 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:06.186 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:06.387 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:06.592 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:06.796 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:07.003 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:07.227 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:07.417 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:07.623 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:07.827 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:08.032 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:08.257 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:08.460 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:08.667 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:08.872 D/BleProximity: 📡 EMA 信号: -74 | 落锁阈值:-90.0 | 解锁阈值:-87.0
