--- Log Capture Start: 20260214_144931 ---
02-14 14:15:02.186 D/BleProximity: 📶 RSSI: -84
02-14 14:15:02.187 D/BleProximity: 🔒 <<< 触发上锁 <<<
02-14 14:15:02.187 D/BleProximity: 原因: 信号均值(-84) < 阈值(-83.0) 
02-14 14:15:02.187 D/BleProximity: 📤 发送指令: 锁车门
02-14 14:15:02.225 D/BleProximity: 收到认证挑战：uuid: E6B0E704-BD48-4CA4-8EC4-7C6503C24AF4, value: 8e8dffdc791e
02-14 14:15:02.228 D/BleProximity: 🔐 处理认证挑战: 386538646666646337393165
02-14 14:15:02.484 D/BleProximity: 📶 RSSI: -85
02-14 14:15:02.793 D/BleProximity: 📶 RSSI: -88
02-14 14:15:02.977 D/BleProximity: 收到认证挑战：uuid: 6CB493E3-7D21-46FB-A7F6-003E2464267E, value: 02
02-14 14:15:02.977 D/BleProximity: 上锁成功
02-14 14:15:02.978 D/BleProximity: 📊 指令出队: 锁车门 -> SUCCESS
02-14 14:15:02.978 D/BleProximity: 🔒 上锁结果: SUCCESS
02-14 14:15:02.978 D/BleProximity: 🔄 同步状态: 车辆已上锁
02-14 14:15:03.095 D/BleProximity: 📶 RSSI: -88
02-14 14:15:03.095 D/BleProximity: 📊 正在收集信号样本: 1/5
02-14 14:15:03.406 D/BleProximity: 📶 RSSI: -86
02-14 14:15:03.407 D/BleProximity: 📊 正在收集信号样本: 2/5
02-14 14:15:03.713 D/BleProximity: 📶 RSSI: -81
02-14 14:15:03.713 D/BleProximity: 📊 正在收集信号样本: 3/5
02-14 14:15:04.014 D/BleProximity: 📶 RSSI: -81
02-14 14:15:04.015 D/BleProximity: 📊 正在收集信号样本: 4/5
02-14 14:15:04.320 D/BleProximity: 📶 RSSI: -82
02-14 14:15:04.619 D/BleProximity: 📶 RSSI: -78
02-14 14:15:04.926 D/BleProximity: 📶 RSSI: -80
02-14 14:15:05.235 D/BleProximity: 📶 RSSI: -83
02-14 14:15:05.535 D/BleProximity: 📶 RSSI: -83
02-14 14:15:05.843 D/BleProximity: 📶 RSSI: -81
02-14 14:15:06.146 D/BleProximity: 📶 RSSI: -81
02-14 14:15:06.448 D/BleProximity: 📶 RSSI: -79
02-14 14:15:06.751 D/BleProximity: 📶 RSSI: -81
02-14 14:15:07.053 D/BleProximity: 📶 RSSI: -78
02-14 14:15:07.354 D/BleProximity: 📶 RSSI: -74
02-14 14:15:07.658 D/BleProximity: 📶 RSSI: -74
02-14 14:15:07.965 D/BleProximity: 📶 RSSI: -75
02-14 14:15:08.268 D/BleProximity: 📶 RSSI: -74
02-14 14:15:08.571 D/BleProximity: 📶 RSSI: -75
